Default Dataset,,Dataset 1,
X,Y,X,Y
2019.3469052817636,12.25994437841144,,
2019.4199032587485,12.72755147964306,,
2019.501448334588,13.924996959720067,,
2019.5842669118822,12.663347361525236,,
2019.6337794986312,11.692405114416609,,
2019.6661863349161,10.658515757526802,,
2019.6962211988487,9.576908430319005,,
2019.7484439347506,8.497147059409773,,
2019.7745051091645,7.473256632470548,,
2019.814315968811,6.628547030245684,,
2019.8148579532199,5.748641194594786,,
2019.8688635330052,4.9868941425884366,,
2019.8517221015156,3.826926849533219,,
2019.9218310453912,5.670706677722851,,
2019.8908475876738,3.320101088198303,,
2019.911852772269,7.402864165618475,,
2019.9549286933316,6.499494174350222,,
2019.9806992626893,4.596764464288153,,
2020.0230112563515,5.939706461764693,,
2020.023216097893,5.208965615395567,,
2020.002970612318,3.683795500267344,,
