Aggravated Assault,,Temperature,
X,Y,X,Y
,,2007.1969267156594,1.5809912303579572
,,2007.540686325616,1.358792055160722
,,2007.8842710715307,1.158738161798265
,,2008.301485710849,0.9152341967138291
,,2008.7234737786714,0.6297096074851658
,,2008.9446114361408,0.34741912939297137
,,2009.1350845246589,0.09143441921496986
,,2009.2623359308693,-0.11333295298950263
,,2009.4107723562586,-0.349245968355393
,,2009.5896089205662,-0.5679319339057516
,,2009.906136197096,-0.7325765588245625
,,2010.3782971526437,-0.45524339628023824
,,2010.7734604844693,-0.18958891963334779
,,2011.2427535000681,-0.32532225225353795
,,2011.7288155054562,-0.5222283631903251
,,2011.9778453459235,-0.6069538738019169
,,2012.1185801227423,-0.30947239518810665
,,2012.2908245707038,-0.024787126312186825
,,2012.4840773966391,0.2511228463030575
,,2012.6772042622383,0.5429847957553631
